dim	P1,m3,d5
dimadd2	P1,M2,m3,d5
dimadd4	P1,m3,M4,d5
dimadd9	P1,m3,d5,M9
dimadd11	P1,m3,d5,M11
dimadd13	P1,m3,d5,M13
dim6	P1,m3,d5,M6
dim6add2	P1,M2,m3,d5,M6
dim6add4	P1,m3,M4,d5,M6
dim6add9	P1,m3,d5,M6,M9
dim6add11	P1,m3,d5,M6,M11
dim6add13	P1,m3,d5,M6,M13
dim7	P1,m3,d5,d7
dim7add2	P1,M2,m3,d5,d7
dim7add4	P1,m3,M4,d5,d7
dim7add9	P1,m3,d5,d7,M9
dim7add11	P1,m3,d5,d7,M11
dim7add13	P1,m3,d5,d7,M13
dimM7	P1,m3,d5,M7
dimM7add2	P1,M2,m3,d5,M7
dimM7add4	P1,m3,M4,d5,M7
dimM7add9	P1,m3,d5,M7,M9
dimM7add11	P1,m3,d5,M7,M11
dimM7add13	P1,m3,d5,M7,M13
aug	P1,M3,a5
augadd2	P1,M2,M3,a5
augadd4	P1,M3,M4,a5
augadd9	P1,M3,a5,M9
augadd11	P1,M3,a5,M11
augadd13	P1,M3,a5,M13
aug6	P1,M3,a5,M6
aug6add2	P1,M2,M3,a5,M6
aug6add4	P1,M3,M4,a5,M6
aug6add9	P1,M3,a5,M6,M9
aug6add11	P1,M3,a5,M6,M11
aug6add13	P1,M3,a5,M6,M13
aug7	P1,M3,a5,m7
aug7add2	P1,M2,M3,a5,m7
aug7add4	P1,M3,M4,a5,m7
aug7add9	P1,M3,a5,m7,M9
aug7add11	P1,M3,a5,m7,M11
aug7add13	P1,M3,a5,m7,M13
augM7	P1,M3,a5,M7
augM7add2	P1,M2,M3,a5,M7
augM7add4	P1,M3,M4,a5,M7
augM7add9	P1,M3,a5,M7,M9
augM7add11	P1,M3,a5,M7,M11
augM7add13	P1,M3,a5,M7,M13
