6add2	P1,M2,M3,P5,M6
6add4	P1,M3,M4,P5,M6
6add9	P1,M3,P5,M6,M9
6add11	P1,M3,P5,M6,M11
6add13	P1,M3,P5,M6,M13
6sus2	P1,M2,P5,M6
6sus2add4	P1,M2,M4,P5,M6
6sus2add9	P1,M2,P5,M6,M9
6sus2add11	P1,M2,P5,M6,M11
6sus2add13	P1,M2,P5,M6,M13
6sus4	P1,P4,P5,M6
6sus4add2	P1,M2,P4,P5,M6
6sus4add9	P1,P4,P5,M6,M9
6sus4add11	P1,P4,P5,M6,M11
6sus4add13	P1,P4,P5,M6,M13
7add2	P1,M2,M3,P5,m7
7add4	P1,M3,M4,P5,m7
7add9	P1,M3,P5,m7,M9
7add11	P1,M3,P5,m7,M11
7add13	P1,M3,P5,m7,M13
7sus2	P1,M2,P5,m7
7sus2add4	P1,M2,M4,P5,m7
7sus2add9	P1,M2,P5,m7,M9
7sus2add11	P1,M2,P5,m7,M11
7sus2add13	P1,M2,P5,m7,M13
7sus4	P1,P4,P5,m7
7sus4add2	P1,M2,P4,P5,m7
7sus4add9	P1,P4,P5,m7,M9
7sus4add11	P1,P4,P5,m7,M11
7sus4add13	P1,P4,P5,m7,M13
M7add2	P1,M2,M3,P5,M7
M7add4	P1,M3,M4,P5,M7
M7add9	P1,M3,P5,M7,M9
M7add11	P1,M3,P5,M7,M11
M7add13	P1,M3,P5,M7,M13
M7sus2	P1,M2,P5,M7
M7sus2add4	P1,M2,M4,P5,M7
M7sus2add9	P1,M2,P5,M7,M9
M7sus2add11	P1,M2,P5,M7,M11
M7sus2add13	P1,M2,P5,M7,M13
M7sus4	P1,P4,P5,M7
M7sus4add2	P1,M2,P4,P5,M7
M7sus4add9	P1,P4,P5,M7,M9
M7sus4add11	P1,P4,P5,M7,M11
M7sus4add13	P1,P4,P5,M7,M13
